timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
11/26/2025 15:15,NIFTY-02Dec2025-26600-CE,SELL,75,18.65,Traded,1.30E+13,44,-1,-5.361930295,-75,1:22,11/26/2025 9:45,CE,"t44=timestamp('GMT',2025,11,26,9,45,21)","line.new(t44,low,t44,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t44,low,t44,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t44,low,t44,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t44, high * 1.02, text=str.tostring(-1.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 15:16,NIFTY-02Dec2025-26600-CE,BUY,75,18.6,Traded,1.27E+13,45,,,,,11/26/2025 9:46,CE,"t45=timestamp('GMT',2025,11,26,9,46,51)",,"line.new(t45,low,t45,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t45?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 15:19,NIFTY-02Dec2025-26600-CE,SELL,75,18.45,Traded,1.38E+13,46,-0.2,-1.08401084,-15,2:39,11/26/2025 9:49,CE,"t46=timestamp('GMT',2025,11,26,9,49,30)","line.new(t46,low,t46,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t46,low,t46,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t46,low,t46,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t46, high * 1.02, text=str.tostring(-0.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 15:20,NIFTY-02Dec2025-26400-CE,BUY,75,57.15,Traded,1.15E+14,47,,,,,11/26/2025 9:50,CE,"t47=timestamp('GMT',2025,11,26,9,50,39)",,"line.new(t47,low,t47,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t47?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 15:23,NIFTY-02Dec2025-26400-CE,SELL,75,58.25,Traded,1.22E+13,48,1.1,1.888412017,82,2:49,11/26/2025 9:53,CE,"t48=timestamp('GMT',2025,11,26,9,53,28)","line.new(t48,low,t48,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t48,low,t48,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t48,low,t48,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t48, high * 1.02, text=str.tostring(1.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 15:26,NIFTY-02Dec2025-26400-CE,BUY,75,59.45,Traded,1.16E+14,49,,,,,11/26/2025 9:56,CE,"t49=timestamp('GMT',2025,11,26,9,56,13)",,"line.new(t49,low,t49,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t49?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 15:27,NIFTY-02Dec2025-26400-CE,SELL,75,60,Traded,1.26E+13,50,0.5,0.833333333,38,1:41,11/26/2025 9:57,CE,"t50=timestamp('GMT',2025,11,26,9,57,54)","line.new(t50,low,t50,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t50,low,t50,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t50,low,t50,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t50, high * 1.02, text=str.tostring(0.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 15:29,NIFTY-02Dec2025-26400-CE,BUY,75,60.25,Traded,1.25E+13,51,,,,,11/26/2025 9:59,CE,"t51=timestamp('GMT',2025,11,26,9,59,30)",,"line.new(t51,low,t51,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t51?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,,1644,,,,,,,,,
